win_lose,y_col,y_row,r_col,r_row,y_def,y_n,y_atk,r_def,r_n,r_atk,turn,g_type
Win,3.33,1.5,3,2.6,16.666666666666664%,66.66666666666666%,16.666666666666664%,0.0%,100.0%,0.0%,11,Sim
Lose,4,3.15,4.31,2.38,38.46153846153847%,61.53846153846154%,0.0%,30.76923076923077%,53.84615384615385%,15.384615384615385%,26,Sim
Lose,3.54,2.85,3.46,2.69,23.076923076923077%,76.92307692307693%,0.0%,30.76923076923077%,61.53846153846154%,7.6923076923076925%,26,Sim
Win,4.27,3.13,3.93,2.86,20.0%,66.66666666666666%,13.333333333333334%,50.0%,50.0%,0.0%,29,Sim
Win,3.75,2.25,3.91,2.55,25.0%,66.66666666666666%,8.333333333333332%,27.27272727272727%,72.72727272727273%,0.0%,23,Sim
Win,5,2.73,4.2,2.5,9.090909090909092%,72.72727272727273%,18.181818181818183%,20.0%,80.0%,0.0%,21,Sim
Win,3.17,2.58,3.18,2.82,16.666666666666664%,75.0%,8.333333333333332%,45.45454545454545%,54.54545454545454%,0.0%,23,Sim
Win,4.46,2.46,4.42,2.58,23.076923076923077%,69.23076923076923%,7.6923076923076925%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Lose,4.33,2.25,3.58,2.42,41.66666666666667%,58.333333333333336%,0.0%,33.33333333333333%,58.333333333333336%,8.333333333333332%,24,Sim
Win,3.88,3.18,3.44,3.06,11.76470588235294%,82.35294117647058%,5.88235294117647%,31.25%,62.5%,6.25%,33,Sim
Lose,4.25,1.88,3.75,2.12,12.5%,62.5%,25.0%,75.0%,12.5%,12.5%,16,Sim
Win,3.77,2.69,3.5,2.25,30.76923076923077%,61.53846153846154%,7.6923076923076925%,58.333333333333336%,41.66666666666667%,0.0%,25,Sim
Draw,4.1,3.29,3.9,3.71,42.857142857142854%,57.14285714285714%,0.0%,33.33333333333333%,52.38095238095239%,14.285714285714285%,42,Sim
Lose,3.75,1.75,2.75,2.25,25.0%,75.0%,0.0%,12.5%,62.5%,25.0%,16,Sim
Lose,3.67,3.39,3.83,3.11,27.77777777777778%,66.66666666666666%,5.555555555555555%,16.666666666666664%,77.77777777777779%,5.555555555555555%,36,Sim
Lose,3.93,2.73,3.73,2.87,26.666666666666668%,60.0%,13.333333333333334%,53.333333333333336%,33.33333333333333%,13.333333333333334%,30,Sim
Win,2.71,3.29,3.54,2.85,28.57142857142857%,57.14285714285714%,14.285714285714285%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,27,Sim
Lose,4.8,1.4,5.4,1.8,20.0%,80.0%,0.0%,0.0%,60.0%,40.0%,10,Sim
Lose,3.22,2,3.67,1.89,33.33333333333333%,66.66666666666666%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Win,3.54,3.31,3.33,2.58,15.384615384615385%,76.92307692307693%,7.6923076923076925%,0.0%,100.0%,0.0%,25,Sim
Lose,3.8,1.8,4.2,2.2,0.0%,80.0%,20.0%,60.0%,20.0%,20.0%,10,Sim
Lose,4.57,2.64,4.43,2.79,35.714285714285715%,64.28571428571429%,0.0%,21.428571428571427%,64.28571428571429%,14.285714285714285%,28,Sim
Lose,4.54,2.69,4.46,3,46.15384615384615%,53.84615384615385%,0.0%,53.84615384615385%,30.76923076923077%,15.384615384615385%,26,Sim
Win,3.94,2.94,4.06,3.29,16.666666666666664%,77.77777777777779%,5.555555555555555%,41.17647058823529%,58.82352941176471%,0.0%,35,Sim
Lose,4.67,1.89,4.67,2.22,22.22222222222222%,77.77777777777779%,0.0%,22.22222222222222%,55.55555555555556%,22.22222222222222%,18,Sim
Lose,3.92,2.33,4.25,2.67,33.33333333333333%,66.66666666666666%,0.0%,33.33333333333333%,50.0%,16.666666666666664%,24,Sim
Lose,3.33,1.78,3.89,2.56,11.11111111111111%,88.88888888888889%,0.0%,22.22222222222222%,66.66666666666666%,11.11111111111111%,18,Sim
